order_gk,offer_id
3000600136447,300051698362
3000552821761,300050607772
3000555796184,300050730721
3000595022625,300051517841
3000588432696,300051212548
3000556121525,300050738235
3000588556901,300051222643
3000594996665,300051515338
3000598985574,300051638607
3000554447156,300050673604
3000554246531,300050660429
3000595621712,300051539425
3000597861418,300051589357
3000599112447,300051645148
3000593821706,300051447067
3000593970676,300051448851
3000577502869,300050832310
3000589282398,300051262826
3000617451515,300051717510
3000588182014,300051207074
3000577800954,300050838172
3000589757350,300051287671
3000598710985,300051626742
3000577502743,300050832229
3000582966573,300050979285
3000597486141,300051579856
3000554846669,300050686731
3000588131406,300051201039
3000593797170,300051444154
3000599110947,300051643907
3000588556371,300051222169
3000592396867,300051373990
3000599736978,300051673016
3000624117354,300051886525
3000627856501,300052108336
3000623816839,300051873507
3000628807502,300052188317
3000577400924,300050824247
3000578651466,300050892073
3000629381703,300052231724
3000632821717,300052400106
3000632997465,300052420635
3000623141286,300051827726
3000622143110,300051755077
3000630106532,300052284357
3000632446393,300052382897
3000554195897,300050657698
3000557361210,300050766211
3000597836634,300051588513
3000632822825,300052401473
3000578651307,300050891858
3000589855869,300051292746
3000554246048,300050660092
3000629457956,300052239453
3000632997765,300052421138
3000622167110,300051757432
3000624765687,300051927867
3000583016687,300050981709
3000582992027,300050980742
3000577376493,300050822935
3000586391449,300051148121
3000596171248,300051557369
3000554446900,300050673303
3000594146352,300051462053
3000582991254,300050980194
3000597311161,300051575541
3000582441611,300050962593
3000594771008,300051496785
3000595021183,300051516624
3000588656071,300051227897
3000592921511,300051394098
3000587231757,300051161880
3000598186501,300051603801
3000594871763,300051504445
3000592796821,300051386781
3000594072171,300051452538
3000597761825,300051583748
3000578151268,300050867767
3000624341041,300051903051
3000632372224,300052378467
3000629580546,300052243568
3000632347003,300052375060
3000632771521,300052392807
3000627881227,300052109448
3000629381035,300052231000
3000633071444,300052434269
3000624092420,300051882955
3000580050946,300050947869
3000595746188,300051545369
3000554971464,300050695256
3000598786849,300051633226
3000617527010,300051722219
3000632795607,300052395135
3000632998196,300052421940
3000629357224,300052229903
3000629880714,300052262167
3000622841825,300051796784
3000624216637,300051893827
3000625940906,300052011439
3000582766451,300050966747
3000593295623,300051413313
3000582816521,300050970613
3000582991062,300050980013
3000579502008,300050933718
3000583472056,300051005455
3000617554004,300051727613
3000577802707,300050840139
3000585067275,300051102492
3000617651642,300051730739
3000617577698,300051729257
3000617650471,300051729939
3000627358441,300052075942
3000629257403,300052217946
3000598086490,300051599371
3000630905625,300052322367
3000622817993,300051792617
3000627806042,300052101663
3000628007708,300052119569
3000632797745,300052397644
3000623440903,300051839666
3000624467727,300051917371
3000632221938,300052366918
3000632821292,300052399704
3000630031091,300052279972
3000630781471,300052318331
3000624116241,300051885007
3000624091609,300051881986
3000629281340,300052219360
3000631156169,300052331415
3000632820652,300052398883
3000597386215,300051577627
3000599710769,300051670309
3000577175620,300050809647
3000578626343,300050889878
3000557361421,300050766490
3000557761803,300050777032
3000589331177,300051265873
3000589432379,300051274858
3000589980924,300051301239
3000590531897,300051322869
3000592146707,300051360341
3000596396582,300051565361
3000599111222,300051644148
3000600136369,300051698261
3000617925685,300051736983
3000617875960,300051735172
3000629932222,300052269237
3000632070524,300052350866
3000631157478,300052333129
3000632999073,300052423492
3000631156072,300052331262
3000556321026,300050746922
3000558011358,300050793090
3000597785684,300051584004
3000599861608,300051680915
3000589630540,300051281620
3000583470907,300051004047
3000582866123,300050975102
3000593696031,300051436211
3000582665472,300050965051
3000585716198,300051125637
3000557786341,300050779767
3000577851316,300050844355
3000578776520,300050905885
3000594271883,300051470650
3000579825779,300050939065
3000583466137,300050999187
3000587957307,300051191350
3000554946105,300050692847
3000555796660,300050731400
